Day,Daily Discharge (m3/s),Daily SSC (mg/L),Upper SSC bound (+1SD),Lower SSC bound (-1SD),Ave fraction fines (based on two turbidimeters),Daily Suspended-Sediment Load (tonnes),Daily SS Load of fines (tonnes),Daily SS Load of sand (tonnes),Remarks,Daily Total gauged > 2-mm bedload (tonnes),Daily gauged bedload for 2-16mm particles (tonnes ),Daily gauged bedload for >16mm particles (tonnes ),Estimated daily ungauged bedload (tonnes),Total sediment discharge (tonnes),Release period,Project year
07/20/2014,30.50098489,34.96253071,44.36115661,27.55515516,0.693736144,92.7,64.3,28.4,NA,0.789109544,0.603668801,0.185440743,30.11089046,123.6,NA ,proj year 3
05/02/2013,30.6,938.5,1379.6,497.4,0.661,2478.1,1637.4,840.7,NA,428.9,314.83,114.09,397,3304,Lake Mills release,proj year 2
11/05/2015,30.731878,283.8530334,360.1583928,223.714194,0.645004211,754.7,486.8,267.9,NA,NA,NA,NA,NA,754.7,NA ,proj year 5
10/22/2011,30.8,184.1,270.6,97.6,0.76,489.1,371.5,117.6,NA,NA,NA,NA,86,575,early removal,proj year 1
04/13/2015,30.81722807,12.13353622,15.39527287,9.562851041,0.713792694,32.3,23.1,9.2,NA,0.089326789,0.068334993,0.020991795,10.67733988,43.06666667,NA ,proj year 4
01/09/2016,30.91350506,65.14343619,82.65529172,51.34174945,0.682266743,174.1,118.8,55.3,NA,NA,NA,NA,NA,174.1,NA ,proj year 5
03/04/2015,30.99647979,58.88112236,74.70954298,46.40620772,0.684069036,157.6,107.8,49.8,NA,0.28465805,0.217763408,0.066894642,52.24867528,210.1333333,NA ,proj year 4
08/10/2012,31.1,107.5,158,57,0.875,289.2,252.9,36.3,NA,NA,NA,NA,51,340,summer 1,proj year 1
07/24/2013,31.1,100,147.1,53,0.871,268.5,233.9,34.7,NA,14.6,11.64,2.92,75,358,summer 2,proj year 2
10/11/2013,31.23516736,423.07999,536.8123336,333.4436763,0.6389862,1146.1,731.8,414.3,NA,5.372870311,4.110245788,1.262624523,376.660463,1528.133333,NA ,proj year 3
11/21/2013,31.32254852,2506.559455,2854.815266,2200.786992,0.592144827,6790.6,4021.2,2769.4,NA,15.05795084,11.51933239,3.538618447,2248.475382,9054.133333,NA ,proj year 3
07/19/2014,31.33050307,30.52929696,38.73618117,24.06117342,0.696144307,83,57.8,25.2,NA,1.200600041,0.918459031,0.28214101,26.46606663,110.6666667,NA ,proj year 3
12/10/2011,31.4,99,145.6,52.5,0.858,268.9,230.7,38.2,NA,NA,NA,NA,47,316,early removal,proj year 1
07/04/2016,31.48681618,5.05813374,6.41786102,3.986486596,0.729858095,13.8,10.1,3.7,NA,NA,NA,NA,NA,13.8,NA ,proj year 5
07/23/2013,31.5,101.9,149.8,54,0.862,277.2,239.1,38.1,NA,26.1,20.84,5.22,66,370,summer 2,proj year 2
01/08/2016,31.50895032,82.94939453,105.247847,65.37522858,0.677895307,225.9,153.2,72.7,NA,NA,NA,NA,NA,225.9,NA ,proj year 5
04/10/2015,31.61206397,18.1065432,22.97394331,14.27038023,0.705512203,49.8,35.1,14.7,NA,0.114509867,0.087600048,0.026909819,16.48549013,66.4,NA ,proj year 4
07/17/2014,31.64375205,27.0045818,34.26395225,21.28322597,0.698579968,73.9,51.6,22.3,NA,1.252147858,0.957893112,0.294254747,23.38118548,98.53333333,NA ,proj year 3
03/09/2012,31.7,106.7,156.8,56.5,0.832,292.1,242.9,49.2,NA,NA,NA,NA,52,344,early removal,proj year 1
03/03/2015,31.77621091,48.73463759,61.83548064,38.40941926,0.687654477,133.8,92,41.8,NA,0.18357925,0.140438126,0.043141124,44.41642075,178.4,NA ,proj year 4
01/03/2014,31.88547698,986.329532,1123.367969,866.0082647,0.572006671,3022,1733.3,1288.7,NA,26.53224047,20.29716396,6.235076511,980.8010929,4029.333333,NA ,proj year 3
04/12/2015,31.8921236,17.91480682,22.73066437,14.1192663,0.70543744,49.8,35.1,14.7,NA,0.123071842,0.094149959,0.028921883,16.47692816,66.4,NA ,proj year 4
03/08/2012,31.9,109.9,161.6,58.3,0.829,302.7,250.9,51.8,NA,NA,NA,NA,53,356,early removal,proj year 1
10/14/2014,31.94560074,1193.183366,1358.961616,1047.628224,0.572494808,3842.7,2215.1,1627.6,NA,109.1812845,83.52368265,25.65760186,1171.718715,5123.6,NA ,proj year 4
10/15/2011,32.1,85.3,125.3,45.2,0.949,236.8,224.6,12.1,NA,NA,NA,NA,42,279,early removal,proj year 1
11/17/2011,32.2,128.9,189.4,68.3,0.804,358.4,288,70.4,NA,NA,NA,NA,63,422,early removal,proj year 1
04/09/2015,32.2088577,17.73051477,22.49683093,13.97401949,0.70648259,49.4,34.9,14.5,NA,0.101330225,0.077517622,0.023812603,16.36533644,65.86666667,NA ,proj year 4
11/13/2013,32.21217707,2567.876456,2924.651515,2254.623998,0.593132817,7140.9,4235.3,2905.6,NA,64.30535497,49.19359656,15.11175842,2315.994645,9521.2,NA ,proj year 3
11/19/2014,32.29628855,224.4316864,284.763402,176.8822169,0.649654985,629.3,408.6,220.7,NA,6.941103133,5.309943897,1.631159236,202.8255635,839.0666667,NA ,proj year 4
05/01/2013,32.3,1386.8,2038.5,735,0.619,3867,2392.7,1474.3,NA,420.4,308.58,111.83,869,5156,Lake Mills release,proj year 2
01/07/2016,32.3206485,101.9024628,129.2958782,80.31278394,0.67416526,284.6,191.9,92.7,NA,NA,NA,NA,NA,284.6,NA ,proj year 5
11/20/2014,32.41284753,158.0651005,200.5561536,124.5764618,0.666248327,442.2,294.6,147.6,NA,8.428848172,6.448068851,1.98077932,138.9711518,589.6,NA ,proj year 4
