Live/Dead,Day,PMA,Tank,qPCR rep 1 Ct,qPCR rep 2 Ct,qPCR rep 3 Ct,Rep 1 copies/qPCR,Rep 2 copies/qPCR,Rep 3 copies/qPCR,Mean copies/qPCR,Mean copies/liter,qPCR assay Y-intercept,qPCR assay slope,qPCR assay R square
dead,5,yes,10,28.401,28.609,28.533,29660,25910,27214,27595,2759461,44.17839813,-3.527800083,0.997500002
dead,1,no,11,22.846,22.883,22.919,1113936,1087668,1062330,1087978,108797767,44.17839813,-3.527800083,0.997500002
dead,2,no,11,20.795,20.805,20.784,4250461,4221631,4279947,4250679,425067933,44.17839813,-3.527800083,0.997500002
dead,3,no,11,21.751,21.625,21.882,2277057,2471609,2090879,2279848,227984817,44.17839813,-3.527800083,0.997500002
dead,5,no,11,22.073,22.123,22.127,1845773,1786485,1781789,1804682,180468229,44.17839813,-3.527800083,0.997500002
dead,1,yes,11,30.112,30.135,29.983,9711,9565,10563,9946,994625,44.17839813,-3.527800083,0.997500002
dead,2,yes,11,25.215,25.334,25.338,237401,219652,219054,225369,22536884,44.17839813,-3.527800083,0.997500002
dead,3,yes,11,23.977,23.866,23.962,532684,572489,537846,547673,54767317,44.17839813,-3.527800083,0.997500002
dead,5,yes,11,28.234,28.213,28.42,33096,33545,29299,31980,3197967,44.17839813,-3.527800083,0.997500002
dead,1,no,12,22.504,22.545,22.575,1392518,1355959,1330129,1359535,135953521,44.17839813,-3.527800083,0.997500002
dead,2,no,12,20.086,19.984,20.036,6749558,7215236,6975682,6980159,698015850,44.17839813,-3.527800083,0.997500002
dead,3,no,12,20.649,20.951,20.894,4675198,3837833,3982251,4165094,416509358,44.17839813,-3.527800083,0.997500002
dead,5,no,12,22.778,22.806,22.977,1164956,1143839,1023140,1110645,111064488,44.17839813,-3.527800083,0.997500002
dead,1,yes,12,27.476,27.415,27.374,54271,56474,58003,56249,5624930,44.17839813,-3.527800083,0.997500002
dead,2,yes,12,25.594,25.57,25.667,185301,188278,176721,183433,18343334,44.17839813,-3.527800083,0.997500002
dead,3,yes,12,24.914,25.132,25.22,288889,250569,236551,258669,25866948,44.17839813,-3.527800083,0.997500002
dead,5,yes,12,28.471,28.438,28.602,28342,28965,26019,27775,2777535,44.17839813,-3.527800083,0.997500002
no fish_FNC,1,no,13,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
no fish_FNC,2,no,13,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
no fish_FNC,3,no,13,38.075,38.185,38.515,50,47,38,45,4494,44.13510132,-3.562599897,0.997300029
no fish_FNC,5,no,13,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
PCR-NTC,NA,no,NA,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.13510132,-3.562599897,0.997300029
PCR-NTC,NA,no,NA,Undetermined,Undetermined,Undetermined,0,0,0,0,0,44.17839813,-3.527800083,0.997500002
